ExtractedComposition_id,lower_wf_analysis,central_wf_analysis,upper_wf_analysis
5922773,0.0,,0.85
5922996,0.95,,1.0
5922796,0.81,,0.88
5922863,0.82,,0.93
5922919,0.95,,1.0
5922731,0.2,,0.4
5922975,0.7,,0.88
5922875,0.95,,1.0
5922853,0.82,,0.86
5922831,0.9,,0.96
5922954,0.6,,0.76
5922776,0.4,,0.45
5922765,0.25,,0.5
5922821,0.6,,1.0
5922722,0.94,,0.97
5922788,0.81,,0.88
5922756,0.98,,0.99
5922745,0.5,,0.8
5922911,0.75,,0.8
5922989,0.6,,0.76
5922867,0.6,,0.76
5922945,0.93,,0.97
5922934,0.0,,0.5
5923019,0.94,,0.97
5922834,0.8,,0.9
5922968,0.6,,0.76
5922758,0.98,,0.99
5922813,0.8,,0.88
5922891,0.9,,0.95
5922780,0.95,,1.0
5922936,0.7,,0.85
5922748,0.95,,1.0
5922903,0.95,,1.0
5922715,0.94,,0.97
5922859,0.25,,0.45
5922760,0.92,,0.98
5923004,0.35,,0.4
5922982,0.94,,0.98
5922804,0.2,,0.4
5922771,0.0,,0.75
5922927,0.95,,0.98
5922827,0.9,,0.96
5922739,,0.99,
5922883,0.2,,0.4
5922961,0.95,,0.98
5922729,0.9,,0.95
5922895,0.75,,0.8
5922884,0.1,,0.2
5922962,0.008,,0.016
5922730,0.05,,0.1
5922896,0.04,,0.05
5922774,0.0,,0.4
5922997,0.0,,0.01
5922797,0.02,,0.04
5922864,0.05,,0.15
5922920,0.0,,0.01
5922732,0.1,,0.2
5922976,0.005,,0.05
5922876,0.008,,0.015
5922854,0.05,,0.1
5922832,0.02,,0.03
5922955,0.1,,0.2
5922777,0.04,,0.06
5922766,0.1,,0.15
5922822,0.15,,1.0
5922723,0.0,,0.01
5922789,0.05,,0.1
5922757,0.01,,0.02
5922746,0.3,,0.5
5922912,0.04,,0.05
5922990,0.01,,0.1
5922868,0.1,,0.2
5922946,0.01,,0.02
5922935,0.5,,1.0
5923020,0.0,,0.01
5922835,0.04,,0.1
5922969,0.01,,0.1
5922759,0.01,,0.02
5922814,0.05,,0.1
5922892,0.04,,0.05
5922781,0.0,,0.01
5922937,0.05,,0.1
5922749,0.008,,0.015
5922904,0.0,,0.01
5922716,0.0,,0.01
5922860,0.3,,0.75
5922761,0.01,,0.02
5923005,0.08,,0.1
5922983,0.0,,0.01
5922805,0.1,,0.2
5922772,0.0,,0.4
5922928,0.008,,0.016
5922828,0.04,,0.06
5922740,0.0,,0.01
5922929,0.0008,,0.0023
5922829,0.02,,0.03
5922741,0.0,,0.001
5922885,0.1,,0.2
5922963,0.0008,,0.0023
5922897,0.09,,0.12
5922775,0.0,,0.005
5922998,0.0,,0.01
5922798,0.003,,0.01
5922865,0.02,,0.03
5922921,0.0,,0.01
5922733,0.1,,0.2
5922977,0.02,,0.08
5922877,0.0,,0.003
5922855,0.01,,0.05
5922833,0.0,,0.01
5922956,0.01,,0.03
5922778,0.48,,0.52
5922767,0.2,,0.25
5922823,0.0,,0.04
5922724,0.0,,0.01
5922790,0.01,,0.03
5922747,0.05,,0.2
5922913,0.09,,0.12
5922991,0.05,,0.15
5922869,0.01,,0.03
5922947,0.01,,0.02
5923021,0.003,,0.015
5922836,0.01,,0.05
5922970,0.05,,0.15
5922815,0.01,,0.02
5922893,0.001,,0.002
5922782,0.0,,0.01
5922938,0.05,,0.1
5922750,0.0,,0.003
5922905,0.0,,0.01
5922717,0.003,,0.015
5922861,0.1,,0.15
5922762,0.01,,0.02
5923006,0.18,,0.24
5922984,0.002,,0.01
5922806,0.1,,0.2
5922862,0.0,,0.005
5922763,0.01,,0.02
5923007,0.1,,0.2
5922985,0.0,,0.01
5922807,0.025,,0.1
5922930,0.004,,0.008
5922830,0.0,,0.01
5922742,0.0,,0.001
5922886,0.025,,0.1
5922964,0.004,,0.008
5922898,0.05,,0.1
5922999,0.0,,0.01
5922799,0.003,,0.01
5922866,0.0,,0.001
5922922,0.0,,0.01
5922734,0.025,,0.1
5922978,0.02,,0.05
5922878,0.0,,0.01
5922856,0.0,,0.01
5922957,0.05,,0.1
5922779,0.01,,0.03
5922768,0.05,,0.1
5922824,0.0,,0.015
5922725,0.0,,0.01
5922791,0.01,,0.03
5922914,0.05,,0.1
5922992,0.03,,0.1
5922870,0.05,,0.1
5922948,0.0,,0.01
5923022,0.0,,0.01
5922837,0.005,,0.015
5922971,0.03,,0.1
5922816,0.03,,0.05
5922894,0.001,,0.005
5922783,0.0,,0.01
5922939,0.01,,0.05
5922751,0.0,,0.01
5922906,0.0,,0.01
5922718,0.0,,0.01
5922784,0.0,,0.001
5922940,0.01,,0.05
5922752,0.0,,0.01
5922907,0.0,,0.001
5922719,0.003,,0.025
5922764,0.01,,0.02
5923008,0.0,,0.03
5922986,0.002,,0.015
5922808,0.025,,0.1
5922931,0.004,,0.008
5922743,0.0,,0.001
5922887,0.025,,0.1
5922965,0.004,,0.008
5922899,0.0,,0.015
5923000,0.0,,0.001
5922800,0.003,,0.01
5922923,0.0,,0.001
5922735,0.025,,0.1
5922979,0.03,,0.12
5922879,0.0,,0.01
5922857,0.0,,0.01
5922958,0.05,,0.1
5922769,0.05,,0.1
5922825,0.0,,0.001
5922726,0.0,,0.01
5922792,0.01,,0.03
5922915,0.0,,0.015
5922993,0.05,,0.25
5922871,0.05,,0.1
5922949,0.0,,0.01
5923023,0.003,,0.025
5922838,0.01,,0.05
5922972,0.05,,0.25
5922817,0.03,,0.05
5922818,0.001,,0.003
5922785,0.0,,0.001
5922941,0.005,,0.015
5922753,0.0,,0.0005
5922908,0.0,,0.001
5922720,0.0005,,0.003
5928855,0.01,,0.02
5923009,0.0,,0.02
5922987,0.0002,,0.002
5922809,0.025,,0.1
5922932,0.0,,0.0008
5922744,0.0,,0.00015
5922888,0.025,,0.1
5922966,0.0,,0.0008
5922900,0.0,,0.01
5923001,0.0,,0.001
5922801,0.0,,0.01
5922924,0.0,,0.001
5922736,0.025,,0.1
5922980,0.0005,,0.003
5922880,0.0,,0.0005
5922858,0.0,,0.01
5922959,0.001,,0.005
5922770,0.1,,0.15
5922826,0.0,,0.001
5922727,0.0005,,0.003
5922793,0.01,,0.02
5922916,0.0,,0.01
5922994,0.0005,,0.003
5922872,0.001,,0.005
5922950,0.001,,0.003
5923024,0.0005,,0.003
5922839,0.005,,0.015
5922973,0.0005,,0.003
5922873,0.005,,0.01
5922951,0.0,,0.0015
5923025,0.0,,0.001
5922840,0.0,,0.005
5922974,0.001,,0.0025
5922819,0.003,,0.005
5922786,0.001,,0.005
5922942,0.0,,0.0075
5922754,0.0,,0.0008
5922909,0.001,,0.005
5922721,0.0,,0.001
5923010,0.001,,0.007
5922988,0.0,,0.001
5922810,0.025,,0.1
5922933,0.0,,0.0008
5922889,0.01,,0.025
5922967,0.0,,0.0008
5922901,0.001,,0.005
5923002,0.001,,0.005
5922802,0.0,,0.0004
5922925,0.001,,0.005
5922737,0.01,,0.025
5922981,0.0005,,0.002
5922881,0.0,,0.0008
5922960,0.001,,0.02
5922728,0.0,,0.001
5922794,0.0,,0.001
5922917,0.001,,0.005
5922995,0.001,,0.0025
5922795,0.0,,0.0001
5922918,0.0,,0.0001
5922874,0.001,,0.005
5922952,0.0,,0.001
5922841,0.0,,0.005
5922820,0.001,,0.003
5922787,0.0,,0.0001
5922943,0.0,,0.005
5922755,0.0,,0.0004
5922910,0.0,,0.0001
5923011,0.0,,0.0002
5922811,0.01,,0.025
5922890,0.2,,0.4
5922902,0.0,,0.0001
5923003,0.0,,0.0001
5922803,0.0,,5e-05
5922926,0.0,,0.0001
5922738,0.2,,0.4
5922882,0.0,,0.0004
5922953,0.001,,0.005
5922842,0.01,,0.03
5922944,0.001,,0.005
5922812,0.2,,0.4
5922843,0.005,,0.015
5922844,0.0,,0.02
5922845,0.0,,0.01
5922846,0.0,,0.01
5922847,0.0,,0.01
5922848,0.0,,0.01
5922849,0.0,,0.01
5922850,0.0,,0.01
5922851,0.0,,0.01
5922852,0.0,,0.0025
